Cod_setor;V011
240330105000005;410,68
240330105000006;386,73
240330105000007;601,99
240330105000008;405,35
240340005000001;619,3
240340005000002;517,95
240340005000003;571,31
240340005000004;281,83
240340005000005;558,86
240340005000006;478,57
240340005000007;368,8
240340005000008;509,55
240340005000009;367,28
240340005000010;471,31
240340005000011;385,64
240340005000012;414,4
240340005000013;475,52
240340005000014;771,46
240350905000001;435,27
240350905000002;481,9
240350905000003;740,97
240350905000004;430,74
240350905000005;438
240350905000006;427,17
240350905000007;389,1
240350905000008;498,68
240350905000009;393,28
240350905000010;486,66
240350905000011;569,63
240350905000012;963,11
240350905000013;344,23
240350905000014;396,61
240350905000015;481,63
240360805000001;654,24
240360805000002;658,13
240360805000003;765,9
240360805000004;1195,65
240360805000005;1138,02
240360805000006;478,94
240360805000007;538,79
240360805000008;628,48
240360805000009;871,97
240360805000010;965,81
240360805000011;1284,09
240360805000012;799,51
240360805000013;1062,94
240360805000014;694,77
240360805000015;531,65
240360805000016;707,73
240360805000017;593,61
240360805000018;620,62
240360805000019;546,25
240360805000020;487,16
240360805000021;608,29
240360805000022;522,69
240360805000023;505,06
240360805000024;548,22
240360805000025;662,39
240360805000026;474,25
240360805000027;425,09
240360805000028;523,06
240360805000029;650,76
240360805000030;691,89
240360805000031;1091,66
240360805000032;529,77
240360805000033;893,27
240360805000034;683,22
240360805000035;1254,55
240360805000036;567,89
240370705000001;614,28
240370705000002;518,97
240370705000003;726,67
240370705000004;498,86
240370705000005;421,92
240370705000006;547,22
240370705000007;407,77
240370705000008;501,93
240370705000009;714,34
240375605000001;807,07
240375605000002;444,48
240375605000003;435,95
240375605000004;431,99
240375605000005;452,21
240380605000001;661,96
240380605000002;842,43
240380605000003;521,02
240380605000004;444,26
240380605000005;570,66
240380605000006;391,01
240380605000007;441,18
240380605000008;374,04
240380605000009;426,48
240380605000010;417,29
240380605000011;600,28
240380605000012;1247,31
240380605000013;837,1
240380605000014;514,11
240380605000015;657,75
240380605000016;700,24
240380605000017;562,41
240380605000018;421,61
240380605000019;803,92
240380605000020;388,05
240390505000001;608,43
240390505000002;595,66
240390505000003;316,9
240390505000004;383,97
240390505000005;492,48
240400205000001;521,11
240400205000002;546,1
240400205000003;455,86
240400205000004;381,35
240400205000005;383,96
240400205000006;586,21
240400205000007;557,91
240400205000008;460,17
240410105000001;798,58
240410105000002;582,4
240410105000003;433,6
240410105000004;422,13
240410105000005;604,68
240420005000001;611,25
240420005000002;549,57
240420005000003;1226,58
240420005000004;1287,56
240420005000005;613,16
240420005000006;659,04
240420005000007;761,66
240420005000008;528,11
240420005000009;472,87
240420005000010;612,45
240420005000011;698,6
240420005000012;431,39
240420005000013;555,4
240420005000014;606,91
240420005000015;443,03
240420005000016;533,11
240420005000017;515,19
240420005000018;460,46
240420005000019;568,65
240420005000020;584,88
240420005000021;636,59
240420005000022;698,62
240420005000023;523,88
240420005000024;495,51
240430905000001;798,73
240430905000002;510,9
240430905000003;518,63
240430905000004;487,93
240430905000005;525,82
240430905000006;294,56
240430905000007;402,8
240430905000008;344,16
240430905000009;494,23
240430905000010;508,12
240430905000011;488,71
240430905000012;340,52
240430905000013;394,7
240430905000014;809,13
