ID;LNG_LOJA;LAT_LOJA;LNG_FRIGO;LAT_FRIGO
boi583;-37,0698;-6,4801;-52,33555;-14,0477016
boi584;-37,0698;-6,4801;-50,57021361;-14,74758948
boi585;-37,0698;-6,4801;-34,88894194;-8,062762483
boi586;-37,0698;-6,4801;-58,4173358;-15,2236652
boi587;-37,0698;-6,4801;-58,4173358;-15,2236652
boi588;-37,0698;-6,4801;-50,57021361;-14,74758948
boi589;-37,0698;-6,4801;-38,66401754;-3,736487
boi590;-37,0698;-6,4801;-53,32491648;-24,61566698
boi591;-37,0698;-6,4801;-35,37613082;-8,51111604
boi592;-37,0698;-6,4801;-54,81128912;-22,22723554
boi593;-37,0698;-6,4801;-50,92968093;-17,7945434
boi594;-37,0698;-6,4801;-34,88894194;-8,062762483
boi595;-37,0698;-6,4801;-52,33555;-14,0477016
boi596;-37,0698;-6,4801;-54,56456909;-19,39552137
boi597;-37,0698;-6,4801;-47,07154764;-23,43004085
boi598;-37,1088;-6,4655;-46,82124801;-22,4360055
boi599;-37,1088;-6,4655;-54,81128912;-22,22723554
boi600;-37,1088;-6,4655;-46,78881014;-23,533612
boi601;-37,1088;-6,4655;-51,40520808;-26,90316461
boi602;-37,1086;-6,4654;-38,66401754;-3,736487
boi603;-37,1086;-6,4654;-41,908636;-21,57727671
boi604;-37,1086;-6,4654;-47,37677424;-23,04253672
boi605;-35,2676;-5,9265;-40,24738091;-15,24616719
boi606;-35,2676;-5,9265;-42,8337279;-5,10068111
boi607;-37,0938;-6,4624;-46,82124801;-22,4360055
boi608;-37,0938;-6,4624;-51,40520808;-26,90316461
boi609;-37,0938;-6,4624;-38,66401754;-3,736487
boi610;-37,0938;-6,4624;-54,81128912;-22,22723554
boi611;-37,0938;-6,4624;-52,33555;-14,0477016
boi612;-37,0938;-6,4624;-54,61574357;-20,45802999
boi613;-37,0938;-6,4624;-54,81128912;-22,22723554
boi614;-37,0938;-6,4624;-49,12681141;-12,47881532
boi615;-37,0938;-6,4624;-46,78881014;-23,533612
boi616;-37,0938;-6,4624;-47,07154764;-23,43004085
boi617;-37,0969;-6,4632;-46,78881014;-23,533612
boi618;-37,0969;-6,4632;-54,56456909;-19,39552137
boi619;-37,0969;-6,4632;-46,82124801;-22,4360055
boi620;-37,0969;-6,4632;-51,40520808;-26,90316461
boi621;-37,0969;-6,4632;-54,56456909;-19,39552137
boi622;-37,0969;-6,4632;-46,78881014;-23,533612
boi623;-37,0969;-6,4632;-54,09178213;-25,2924975
boi624;-37,0969;-6,4632;-50,92968093;-17,7945434
boi625;-37,0969;-6,4631;-46,78881014;-23,533612
boi626;-37,0969;-6,4631;-48,20870525;-7,19132894
boi627;-37,0969;-6,4631;-50,43015506;-6,772978677
boi628;-37,0969;-6,4631;-51,13352861;-18,56305062
boi629;-37,0969;-6,4631;-46,82124801;-22,4360055
boi630;-37,0969;-6,4631;-38,66401754;-3,736487
boi631;-37,0969;-6,4631;-54,61574357;-20,45802999
boi632;-37,0969;-6,4631;-58,4173358;-15,2236652
boi633;-37,0969;-6,4631;-51,13352861;-18,56305062
boi634;-37,0969;-6,4632;-49,12681141;-12,47881532
boi635;-37,0969;-6,4632;-48,20870525;-7,19132894
boi636;-37,097;-6,4624;-38,66401754;-3,736487
boi637;-37,097;-6,4624;-50,92968093;-17,7945434
boi638;-37,097;-6,4624;-54,81128912;-22,22723554
boi639;-37,097;-6,4624;-34,91058339;-7,82837199
boi640;-37,097;-6,4624;-54,56456909;-19,39552137
boi641;-37,097;-6,4624;-50,0245774;-8,0544324
boi642;-37,0989;-6,4606;-41,908636;-21,57727671
boi643;-37,0989;-6,4606;-46,82124801;-22,4360055
boi644;-37,0989;-6,4606;-46,78881014;-23,533612
boi645;-37,0989;-6,4606;-38,66401754;-3,736487
boi646;-37,0989;-6,4606;-54,81128912;-22,22723554
boi647;-37,0989;-6,4606;-47,37677424;-23,04253672
boi648;-37,0989;-6,4606;-47,26580273;-22,822145
boi649;-37,0989;-6,4606;-51,40520808;-26,90316461
boi650;-37,0987;-6,4604;-51,22367299;-27,39905298
boi651;-37,0987;-6,4604;-40,35173883;-17,83899335
boi652;-37,0987;-6,4604;-51,69805748;-10,40327408
boi653;-37,0987;-6,4604;-43,82555709;-19,89249451
boi654;-37,0987;-6,4604;-48,56737784;-20,55845552
boi655;-35,2295;-5,8853;-56,14466374;-15,65806482
boi656;-35,2295;-5,8853;-34,91058339;-7,82837199
